,disaster,disaster_type,date,lgt,lat,severity,highest_severity,moment,file
0,socal-fire,fire,2018-11-14 18:42:58,-118.7375234386052,34.14722992187079,1,no-damage,post,socal-fire_00000986_post_disaster.json
1,hurricane-florence,flooding,2018-04-06 15:49:36,-77.94345266069567,34.75869938398745,1,Unknown,pre,hurricane-florence_00000398_pre_disaster.json
2,hurricane-florence,flooding,2018-09-20 16:04:41,-77.8849407422267,34.78943805796636,41,major-damage,post,hurricane-florence_00000395_post_disaster.json
3,hurricane-matthew,wind,2016-10-10 16:04:56,,,1,Unknown,post,hurricane-matthew_00000239_post_disaster.json
4,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.676137377644,38.53334813414539,1,Unknown,pre,santa-rosa-wildfire_00000300_pre_disaster.json
5,midwest-flooding,flooding,2019-05-30 17:35:04,-96.35600036414489,36.21880834631938,1,no-damage,post,midwest-flooding_00000191_post_disaster.json
6,socal-fire,fire,2018-11-14 18:42:58,-118.7653789948052,34.06005433190378,1,un-classified,post,socal-fire_00001127_post_disaster.json
7,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6843288608543,38.50446693748178,34,destroyed,post,santa-rosa-wildfire_00000346_post_disaster.json
8,hurricane-michael,wind,2017-11-29 16:28:19,-85.61028160720045,30.14919723432295,1,Unknown,pre,hurricane-michael_00000253_pre_disaster.json
9,hurricane-matthew,wind,2013-06-09 15:51:17,-74.11768581107668,18.55990558163911,1,Unknown,pre,hurricane-matthew_00000275_pre_disaster.json
10,hurricane-michael,wind,2018-10-13 16:48:15,-85.78118699805671,30.16574784644268,5,minor-damage,post,hurricane-michael_00000512_post_disaster.json
11,hurricane-matthew,wind,2016-10-01 15:29:45,-73.77213627257132,18.20444666013028,75,major-damage,post,hurricane-matthew_00000103_post_disaster.json
12,palu-tsunami,tsunami,2018-10-01 02:26:02,119.8500876391867,-0.8857559336934356,237,destroyed,post,palu-tsunami_00000131_post_disaster.json
