disaster,disaster_type,date,lgt,lat,severity,highest_severity,moment,file
midwest-flooding,flooding,2019-05-30 17:35:04,-96.27858934051682,35.95741192462236,1,no-damage,post,midwest-flooding_00000403_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.68480801904279,30.2045140830821,12,destroyed,post,hurricane-michael_00000442_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:21,-95.37961991029142,30.03413596997573,1,Unknown,pre,hurricane-harvey_00000042_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.32041603481909,36.13416277496288,1,no-damage,post,midwest-flooding_00000319_post_disaster.json
socal-fire,fire,2018-10-23 18:51:21,,,1,Unknown,pre,socal-fire_00000410_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.62227002506143,29.86157712173745,203,major-damage,post,hurricane-harvey_00000506_post_disaster.json
palu-tsunami,tsunami,2017-07-12 02:27:03,119.8835764842355,-0.8338839490314144,1,Unknown,pre,palu-tsunami_00000175_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.931425790281,34.08292118456192,2,minor-damage,post,socal-fire_00000402_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7932346348056,34.01732323459143,1,no-damage,post,socal-fire_00000965_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.65846763464651,30.29195490738152,30,major-damage,post,hurricane-michael_00000347_post_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.98856382778254,34.72176083017514,18,major-damage,post,hurricane-florence_00000408_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.9127959275533,34.55287302936765,1,Unknown,pre,hurricane-florence_00000115_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.28396702767098,35.93662888343502,1,no-damage,post,midwest-flooding_00000204_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,,,1,Unknown,pre,hurricane-harvey_00000118_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7918393573753,34.09541686496784,18,destroyed,post,socal-fire_00000940_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.97669393651147,34.72004095127826,1,Unknown,pre,hurricane-florence_00000369_pre_disaster.json
hurricane-matthew,wind,2016-10-01 15:29:45,-73.74878667948158,18.19336382653701,465,major-damage,post,hurricane-matthew_00000152_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6983503380637,38.51149999189843,25,destroyed,post,santa-rosa-wildfire_00000034_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.64428360821891,30.28402808219165,12,major-damage,post,hurricane-michael_00000326_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8410494698594,-0.8817669901555798,272,destroyed,post,palu-tsunami_00000066_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.61044518149508,30.09185739781288,1,Unknown,pre,hurricane-michael_00000009_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.93973267057805,34.80040719856069,1,Unknown,pre,hurricane-florence_00000435_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.96489235467985,34.68320898791102,1,Unknown,pre,hurricane-florence_00000282_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000701_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.56191864754821,29.57460513991408,1,Unknown,pre,hurricane-harvey_00000284_pre_disaster.json
